geography,sex,age_group,disability_type,global_severity,labour_force_status,value
Nova Scotia,Females,15 to 24 years,All disability types,Mild,Employment Rate,52.2
Nova Scotia,Females,15 to 24 years,All disability types,Mild,Age standardized employment rate,52.1
Nova Scotia,Females,15 to 24 years,All disability types,Moderate,Total labour force,850.0
Nova Scotia,Females,15 to 24 years,All disability types,Moderate,Not in labour force,340.0
Nova Scotia,Females,15 to 24 years,All disability types,Moderate,Participation rate,57.5
Nova Scotia,Females,15 to 24 years,All disability types,Moderate,Age standardized participation rate,57.4
Nova Scotia,Females,15 to 24 years,All disability types,Severe,Total labour force,700.0
Nova Scotia,Females,15 to 24 years,All disability types,Severe,Not in labour force,400.0
Nova Scotia,Females,15 to 24 years,All disability types,Severe,Participation rate,38.8
Nova Scotia,Females,15 to 24 years,All disability types,Severe,Age standardized participation rate,39.7
Nova Scotia,Females,15 to 24 years,All disability types,Severe,Employment Rate,32.8
Nova Scotia,Females,15 to 24 years,All disability types,Severe,Age standardized employment rate,32.9
Nova Scotia,Females,15 to 24 years,Mobility,Severe,Total labour force,250.0
Nova Scotia,Females,15 to 24 years,Flexibility,Severe,Total labour force,260.0
Nova Scotia,Females,15 to 24 years,Pain,Mild,Participation rate,87.5
Nova Scotia,Females,15 to 24 years,Pain,Mild,Age standardized participation rate,86.1
Nova Scotia,Females,15 to 24 years,Pain,Mild,Employment Rate,83.3
Nova Scotia,Females,15 to 24 years,Pain,Mild,Age standardized employment rate,82.2
Nova Scotia,Females,15 to 24 years,Pain,Moderate,Total labour force,340.0
Nova Scotia,Females,15 to 24 years,Pain,Severe,Total labour force,470.0
Nova Scotia,Females,15 to 24 years,Pain,Severe,Not in labour force,240.0
Nova Scotia,Females,15 to 24 years,Learning,Mild,Total labour force,270.0
Nova Scotia,Females,15 to 24 years,Learning,Mild,Not in labour force,120.0
Nova Scotia,Females,15 to 24 years,Learning,Severe,Total labour force,340.0
Nova Scotia,Females,15 to 24 years,Mental and/or psychological,Mild,Total labour force,370.0
Nova Scotia,Females,15 to 24 years,Mental and/or psychological,Mild,Participation rate,50.0
Nova Scotia,Females,15 to 24 years,Mental and/or psychological,Mild,Age standardized participation rate,51.5
Nova Scotia,Females,15 to 24 years,Mental and/or psychological,Moderate,Participation rate,62.3
Nova Scotia,Females,15 to 24 years,Mental and/or psychological,Moderate,Age standardized participation rate,61.3
Nova Scotia,Females,15 to 24 years,Mental and/or psychological,Severe,Total labour force,540.0
Nova Scotia,Females,15 to 24 years,Mental and/or psychological,Severe,Not in labour force,360.0
Nova Scotia,Females,25 to 34 years,All disability types,Mild,Total labour force,1580.0
Nova Scotia,Females,25 to 34 years,All disability types,Mild,Employed,1250.0
Nova Scotia,Females,25 to 34 years,All disability types,Mild,Participation rate,86.8
Nova Scotia,Females,25 to 34 years,All disability types,Mild,Age standardized participation rate,86.5
Nova Scotia,Females,25 to 34 years,All disability types,Mild,Employment Rate,82.2
Nova Scotia,Females,25 to 34 years,All disability types,Mild,Age standardized employment rate,81.9
Nova Scotia,Females,25 to 34 years,All disability types,Moderate,Employed,760.0
Nova Scotia,Females,25 to 34 years,All disability types,Moderate,Participation rate,93.6
Nova Scotia,Females,25 to 34 years,All disability types,Moderate,Age standardized participation rate,93.7
Nova Scotia,Females,25 to 34 years,All disability types,Moderate,Employment Rate,53.9
Nova Scotia,Females,25 to 34 years,All disability types,Moderate,Age standardized employment rate,54.0
Nova Scotia,Females,25 to 34 years,All disability types,Severe,Total labour force,1450.0
Nova Scotia,Females,25 to 34 years,All disability types,Very Severe,Total labour force,700.0
Nova Scotia,Females,25 to 34 years,All disability types,Very Severe,Not in labour force,570.0
Nova Scotia,Females,25 to 34 years,Mobility,Very Severe,Total labour force,610.0
Nova Scotia,Females,25 to 34 years,Flexibility,Very Severe,Total labour force,650.0
Nova Scotia,Females,25 to 34 years,Pain,Mild,Total labour force,1050.0
Nova Scotia,Females,25 to 34 years,Pain,Mild,Employed,850.0
Nova Scotia,Females,25 to 34 years,Pain,Mild,Participation rate,90.9
Nova Scotia,Females,25 to 34 years,Pain,Mild,Age standardized participation rate,90.5
Nova Scotia,Females,25 to 34 years,Pain,Mild,Employment Rate,85.9
Nova Scotia,Females,25 to 34 years,Pain,Mild,Age standardized employment rate,85.7
Nova Scotia,Females,25 to 34 years,Pain,Moderate,Participation rate,94.7
Nova Scotia,Females,25 to 34 years,Pain,Moderate,Age standardized participation rate,95.1
Nova Scotia,Females,25 to 34 years,Pain,Severe,Total labour force,1380.0
Nova Scotia,Females,25 to 34 years,Pain,Very Severe,Total labour force,660.0
Nova Scotia,Females,25 to 34 years,Pain,Very Severe,Not in labour force,540.0
Nova Scotia,Females,25 to 34 years,Mental and/or psychological,Very Severe,Total labour force,490.0
Nova Scotia,Females,35 to 44 years,All disability types,Mild,Total labour force,3010.0
Nova Scotia,Females,35 to 44 years,All disability types,Mild,Employed,1680.0
Nova Scotia,Females,35 to 44 years,All disability types,Mild,Participation rate,76.9
Nova Scotia,Females,35 to 44 years,All disability types,Mild,Age standardized participation rate,77.1
Nova Scotia,Females,35 to 44 years,All disability types,Mild,Employment Rate,56.2
Nova Scotia,Females,35 to 44 years,All disability types,Mild,Age standardized employment rate,56.1
Nova Scotia,Females,35 to 44 years,All disability types,Moderate,Total labour force,1370.0
Nova Scotia,Females,35 to 44 years,All disability types,Moderate,Employed,550.0
Nova Scotia,Females,35 to 44 years,All disability types,Moderate,Participation rate,76.3
Nova Scotia,Females,35 to 44 years,All disability types,Moderate,Age standardized participation rate,76.4
Nova Scotia,Females,35 to 44 years,All disability types,Moderate,Employment Rate,42.0
Nova Scotia,Females,35 to 44 years,All disability types,Moderate,Age standardized employment rate,42.3
Nova Scotia,Females,35 to 44 years,All disability types,Severe,Total labour force,1250.0
Nova Scotia,Females,35 to 44 years,All disability types,Severe,Employed,650.0
Nova Scotia,Females,35 to 44 years,All disability types,Severe,Participation rate,66.1
Nova Scotia,Females,35 to 44 years,All disability types,Severe,Age standardized participation rate,65.9
Nova Scotia,Females,35 to 44 years,All disability types,Severe,Employment Rate,59.6
Nova Scotia,Females,35 to 44 years,All disability types,Severe,Age standardized employment rate,59.1
Nova Scotia,Females,35 to 44 years,All disability types,Very Severe,Total labour force,1850.0
Nova Scotia,Females,35 to 44 years,All disability types,Very Severe,Employed,500.0
Nova Scotia,Females,35 to 44 years,All disability types,Very Severe,Not in labour force,970.0
Nova Scotia,Females,35 to 44 years,All disability types,Very Severe,Participation rate,41.9
Nova Scotia,Females,35 to 44 years,All disability types,Very Severe,Age standardized participation rate,42.0
Nova Scotia,Females,35 to 44 years,All disability types,Very Severe,Employment Rate,29.9
Nova Scotia,Females,35 to 44 years,All disability types,Very Severe,Age standardized employment rate,29.7
Nova Scotia,Females,35 to 44 years,Mobility,Moderate,Total labour force,920.0
Nova Scotia,Females,35 to 44 years,Mobility,Moderate,Participation rate,74.4
Nova Scotia,Females,35 to 44 years,Mobility,Moderate,Age standardized participation rate,75.2
Nova Scotia,Females,35 to 44 years,Mobility,Severe,Total labour force,720.0
Nova Scotia,Females,35 to 44 years,Mobility,Severe,Employed,400.0
Nova Scotia,Females,35 to 44 years,Mobility,Severe,Participation rate,73.4
Nova Scotia,Females,35 to 44 years,Mobility,Severe,Age standardized participation rate,73.3
Nova Scotia,Females,35 to 44 years,Mobility,Severe,Employment Rate,62.5
Nova Scotia,Females,35 to 44 years,Mobility,Severe,Age standardized employment rate,61.9
Nova Scotia,Females,35 to 44 years,Mobility,Very Severe,Total labour force,1560.0
Nova Scotia,Females,35 to 44 years,Mobility,Very Severe,Employed,400.0
Nova Scotia,Females,35 to 44 years,Mobility,Very Severe,Not in labour force,840.0
Nova Scotia,Females,35 to 44 years,Mobility,Very Severe,Participation rate,40.7
Nova Scotia,Females,35 to 44 years,Mobility,Very Severe,Age standardized participation rate,40.4
Nova Scotia,Females,35 to 44 years,Mobility,Very Severe,Employment Rate,28.6
Nova Scotia,Females,35 to 44 years,Mobility,Very Severe,Age standardized employment rate,28.6
Nova Scotia,Females,35 to 44 years,Flexibility,Mild,Total labour force,390.0
Nova Scotia,Females,35 to 44 years,Flexibility,Moderate,Total labour force,540.0
Nova Scotia,Females,35 to 44 years,Flexibility,Moderate,Participation rate,75.0
Nova Scotia,Females,35 to 44 years,Flexibility,Moderate,Age standardized participation rate,75.8
Nova Scotia,Females,35 to 44 years,Flexibility,Severe,Total labour force,600.0
Nova Scotia,Females,35 to 44 years,Flexibility,Severe,Participation rate,78.0
Nova Scotia,Females,35 to 44 years,Flexibility,Severe,Age standardized participation rate,76.5
Nova Scotia,Females,35 to 44 years,Flexibility,Very Severe,Total labour force,1560.0
Nova Scotia,Females,35 to 44 years,Flexibility,Very Severe,Employed,400.0
Nova Scotia,Females,35 to 44 years,Flexibility,Very Severe,Not in labour force,800.0
Nova Scotia,Females,35 to 44 years,Flexibility,Very Severe,Participation rate,43.3
Nova Scotia,Females,35 to 44 years,Flexibility,Very Severe,Age standardized participation rate,43.2
Nova Scotia,Females,35 to 44 years,Flexibility,Very Severe,Employment Rate,28.4
Nova Scotia,Females,35 to 44 years,Flexibility,Very Severe,Age standardized employment rate,28.5
Nova Scotia,Females,35 to 44 years,Dexterity,Very Severe,Total labour force,790.0
Nova Scotia,Females,35 to 44 years,Dexterity,Very Severe,Not in labour force,400.0
Nova Scotia,Females,35 to 44 years,Pain,Mild,Total labour force,1580.0
Nova Scotia,Females,35 to 44 years,Pain,Mild,Employed,840.0
Nova Scotia,Females,35 to 44 years,Pain,Mild,Participation rate,71.5
Nova Scotia,Females,35 to 44 years,Pain,Mild,Age standardized participation rate,71.3
Nova Scotia,Females,35 to 44 years,Pain,Mild,Employment Rate,53.2
Nova Scotia,Females,35 to 44 years,Pain,Mild,Age standardized employment rate,53.2
Nova Scotia,Females,35 to 44 years,Pain,Moderate,Total labour force,1210.0
Nova Scotia,Females,35 to 44 years,Pain,Moderate,Employed,500.0
Nova Scotia,Females,35 to 44 years,Pain,Moderate,Participation rate,79.8
Nova Scotia,Females,35 to 44 years,Pain,Moderate,Age standardized participation rate,79.2
Nova Scotia,Females,35 to 44 years,Pain,Moderate,Employment Rate,43.9
Nova Scotia,Females,35 to 44 years,Pain,Moderate,Age standardized employment rate,43.8
Nova Scotia,Females,35 to 44 years,Pain,Severe,Total labour force,1130.0
Nova Scotia,Females,35 to 44 years,Pain,Severe,Employed,580.0
Nova Scotia,Females,35 to 44 years,Pain,Severe,Participation rate,62.4
Nova Scotia,Females,35 to 44 years,Pain,Severe,Age standardized participation rate,62.9
Nova Scotia,Females,35 to 44 years,Pain,Severe,Employment Rate,57.4
Nova Scotia,Females,35 to 44 years,Pain,Severe,Age standardized employment rate,58.0
Nova Scotia,Females,35 to 44 years,Pain,Very Severe,Total labour force,1690.0
Nova Scotia,Females,35 to 44 years,Pain,Very Severe,Employed,500.0
Nova Scotia,Females,35 to 44 years,Pain,Very Severe,Not in labour force,810.0
Nova Scotia,Females,35 to 44 years,Pain,Very Severe,Participation rate,46.4
Nova Scotia,Females,35 to 44 years,Pain,Very Severe,Age standardized participation rate,46.4
Nova Scotia,Females,35 to 44 years,Pain,Very Severe,Employment Rate,33.1
Nova Scotia,Females,35 to 44 years,Pain,Very Severe,Age standardized employment rate,32.8
Nova Scotia,Females,35 to 44 years,Learning,Very Severe,Total labour force,840.0
Nova Scotia,Females,35 to 44 years,Memory,Very Severe,Total labour force,530.0
Nova Scotia,Females,35 to 44 years,Mental and/or psychological,Moderate,Participation rate,88.1
Nova Scotia,Females,35 to 44 years,Mental and/or psychological,Moderate,Age standardized participation rate,87.8
Nova Scotia,Females,35 to 44 years,Mental and/or psychological,Severe,Total labour force,740.0
Nova Scotia,Females,35 to 44 years,Mental and/or psychological,Very Severe,Total labour force,1020.0
Nova Scotia,Females,45 to 54 years,All disability types,Mild,Total labour force,4370.0
Nova Scotia,Females,45 to 54 years,All disability types,Mild,Employed,3760.0
Nova Scotia,Females,45 to 54 years,All disability types,Mild,Participation rate,97.2
Nova Scotia,Females,45 to 54 years,All disability types,Mild,Age standardized participation rate,97.3
Nova Scotia,Females,45 to 54 years,All disability types,Mild,Employment Rate,95.4
Nova Scotia,Females,45 to 54 years,All disability types,Mild,Age standardized employment rate,95.4
Nova Scotia,Females,45 to 54 years,All disability types,Moderate,Total labour force,2250.0
Nova Scotia,Females,45 to 54 years,All disability types,Moderate,Employed,1320.0
Nova Scotia,Females,45 to 54 years,All disability types,Moderate,Participation rate,78.8
Nova Scotia,Females,45 to 54 years,All disability types,Moderate,Age standardized participation rate,79.0
Nova Scotia,Females,45 to 54 years,All disability types,Moderate,Employment Rate,60.8
Nova Scotia,Females,45 to 54 years,All disability types,Moderate,Age standardized employment rate,60.8
Nova Scotia,Females,45 to 54 years,All disability types,Severe,Total labour force,3250.0
Nova Scotia,Females,45 to 54 years,All disability types,Very Severe,Total labour force,5670.0
Nova Scotia,Females,45 to 54 years,All disability types,Very Severe,Employed,1640.0
Nova Scotia,Females,45 to 54 years,All disability types,Very Severe,Not in labour force,3560.0
Nova Scotia,Females,45 to 54 years,All disability types,Very Severe,Participation rate,32.2
Nova Scotia,Females,45 to 54 years,All disability types,Very Severe,Age standardized participation rate,32.2
Nova Scotia,Females,45 to 54 years,All disability types,Very Severe,Employment Rate,31.2
Nova Scotia,Females,45 to 54 years,All disability types,Very Severe,Age standardized employment rate,31.2
Nova Scotia,Females,45 to 54 years,Seeing,Very Severe,Total labour force,3320.0
Nova Scotia,Females,45 to 54 years,Seeing,Very Severe,Not in labour force,2460.0
Nova Scotia,Females,45 to 54 years,Hearing,Very Severe,Total labour force,1090.0
Nova Scotia,Females,45 to 54 years,Mobility,Severe,Total labour force,2500.0
Nova Scotia,Females,45 to 54 years,Mobility,Very Severe,Total labour force,5060.0
Nova Scotia,Females,45 to 54 years,Mobility,Very Severe,Not in labour force,3320.0
Nova Scotia,Females,45 to 54 years,Flexibility,Severe,Total labour force,2550.0
Nova Scotia,Females,45 to 54 years,Flexibility,Very Severe,Total labour force,5370.0
Nova Scotia,Females,45 to 54 years,Flexibility,Very Severe,Employed,1560.0
Nova Scotia,Females,45 to 54 years,Flexibility,Very Severe,Not in labour force,3560.0
Nova Scotia,Females,45 to 54 years,Flexibility,Very Severe,Participation rate,31.1
Nova Scotia,Females,45 to 54 years,Flexibility,Very Severe,Age standardized participation rate,31.2
Nova Scotia,Females,45 to 54 years,Flexibility,Very Severe,Employment Rate,30.2
Nova Scotia,Females,45 to 54 years,Flexibility,Very Severe,Age standardized employment rate,30.2
Nova Scotia,Females,45 to 54 years,Dexterity,Very Severe,Total labour force,3630.0
Nova Scotia,Females,45 to 54 years,Dexterity,Very Severe,Not in labour force,2600.0
Nova Scotia,Females,45 to 54 years,Pain,Mild,Total labour force,2610.0
Nova Scotia,Females,45 to 54 years,Pain,Mild,Employed,2110.0
Nova Scotia,Females,45 to 54 years,Pain,Mild,Participation rate,100.0
Nova Scotia,Females,45 to 54 years,Pain,Mild,Age standardized participation rate,100.0
Nova Scotia,Females,45 to 54 years,Pain,Mild,Employment Rate,96.8
Nova Scotia,Females,45 to 54 years,Pain,Mild,Age standardized employment rate,96.7
Nova Scotia,Females,45 to 54 years,Pain,Moderate,Total labour force,1960.0
Nova Scotia,Females,45 to 54 years,Pain,Moderate,Participation rate,80.3
Nova Scotia,Females,45 to 54 years,Pain,Moderate,Age standardized participation rate,80.4
Nova Scotia,Females,45 to 54 years,Pain,Severe,Total labour force,3060.0
Nova Scotia,Females,45 to 54 years,Pain,Very Severe,Total labour force,5670.0
Nova Scotia,Females,45 to 54 years,Pain,Very Severe,Employed,1640.0
Nova Scotia,Females,45 to 54 years,Pain,Very Severe,Not in labour force,3560.0
Nova Scotia,Females,45 to 54 years,Pain,Very Severe,Participation rate,32.2
Nova Scotia,Females,45 to 54 years,Pain,Very Severe,Age standardized participation rate,32.2
Nova Scotia,Females,45 to 54 years,Pain,Very Severe,Employment Rate,31.2
Nova Scotia,Females,45 to 54 years,Pain,Very Severe,Age standardized employment rate,31.2
Nova Scotia,Females,45 to 54 years,Memory,Very Severe,Total labour force,2320.0
Nova Scotia,Females,45 to 54 years,Memory,Very Severe,Not in labour force,1630.0
Nova Scotia,Females,45 to 54 years,Mental and/or psychological,Very Severe,Total labour force,3430.0
Nova Scotia,Females,45 to 54 years,Mental and/or psychological,Very Severe,Not in labour force,2510.0
Nova Scotia,Females,55 to 64 years,All disability types,Mild,Total labour force,4780.0
Nova Scotia,Females,55 to 64 years,All disability types,Mild,Employed,1840.0
Nova Scotia,Females,55 to 64 years,All disability types,Mild,Not in labour force,2370.0
Nova Scotia,Females,55 to 64 years,All disability types,Mild,Participation rate,47.3
Nova Scotia,Females,55 to 64 years,All disability types,Mild,Age standardized participation rate,47.3
Nova Scotia,Females,55 to 64 years,All disability types,Mild,Employment Rate,40.9
Nova Scotia,Females,55 to 64 years,All disability types,Mild,Age standardized employment rate,41.0
Nova Scotia,Females,55 to 64 years,All disability types,Moderate,Total labour force,4080.0
Nova Scotia,Females,55 to 64 years,All disability types,Moderate,Not in labour force,2560.0
Nova Scotia,Females,55 to 64 years,All disability types,Moderate,Participation rate,37.3
Nova Scotia,Females,55 to 64 years,All disability types,Moderate,Age standardized participation rate,37.2
Nova Scotia,Females,55 to 64 years,All disability types,Severe,Total labour force,3640.0
Nova Scotia,Females,55 to 64 years,All disability types,Severe,Not in labour force,2630.0
Nova Scotia,Females,55 to 64 years,All disability types,Very Severe,Total labour force,4270.0
Nova Scotia,Females,55 to 64 years,All disability types,Very Severe,Not in labour force,3030.0
Nova Scotia,Females,55 to 64 years,Seeing,Very Severe,Total labour force,1400.0
Nova Scotia,Females,55 to 64 years,Seeing,Very Severe,Not in labour force,980.0
Nova Scotia,Females,55 to 64 years,Mobility,Moderate,Total labour force,1690.0
Nova Scotia,Females,55 to 64 years,Mobility,Severe,Total labour force,2860.0
Nova Scotia,Females,55 to 64 years,Mobility,Severe,Not in labour force,2040.0
Nova Scotia,Females,55 to 64 years,Mobility,Very Severe,Total labour force,4070.0
Nova Scotia,Females,55 to 64 years,Mobility,Very Severe,Not in labour force,2820.0
Nova Scotia,Females,55 to 64 years,Flexibility,Moderate,Total labour force,3360.0
Nova Scotia,Females,55 to 64 years,Flexibility,Severe,Total labour force,3060.0
Nova Scotia,Females,55 to 64 years,Flexibility,Severe,Not in labour force,2110.0
Nova Scotia,Females,55 to 64 years,Flexibility,Very Severe,Total labour force,4130.0
Nova Scotia,Females,55 to 64 years,Flexibility,Very Severe,Not in labour force,2970.0
Nova Scotia,Females,55 to 64 years,Dexterity,Moderate,Total labour force,1500.0
Nova Scotia,Females,55 to 64 years,Dexterity,Very Severe,Total labour force,2130.0
Nova Scotia,Females,55 to 64 years,Dexterity,Very Severe,Not in labour force,1530.0
Nova Scotia,Females,55 to 64 years,Pain,Mild,Total labour force,2930.0
Nova Scotia,Females,55 to 64 years,Pain,Mild,Employed,1440.0
Nova Scotia,Females,55 to 64 years,Pain,Mild,Not in labour force,1150.0
Nova Scotia,Females,55 to 64 years,Pain,Mild,Participation rate,56.6
Nova Scotia,Females,55 to 64 years,Pain,Mild,Age standardized participation rate,56.6
Nova Scotia,Females,55 to 64 years,Pain,Mild,Employment Rate,54.3
Nova Scotia,Females,55 to 64 years,Pain,Mild,Age standardized employment rate,54.3
Nova Scotia,Females,55 to 64 years,Pain,Moderate,Total labour force,3450.0
Nova Scotia,Females,55 to 64 years,Pain,Moderate,Participation rate,37.4
Nova Scotia,Females,55 to 64 years,Pain,Moderate,Age standardized participation rate,37.4
Nova Scotia,Females,55 to 64 years,Pain,Severe,Total labour force,3460.0
Nova Scotia,Females,55 to 64 years,Pain,Severe,Not in labour force,2500.0
Nova Scotia,Females,55 to 64 years,Pain,Very Severe,Total labour force,4270.0
Nova Scotia,Females,55 to 64 years,Pain,Very Severe,Not in labour force,3030.0
Nova Scotia,Females,55 to 64 years,Mental and/or psychological,Very Severe,Total labour force,2650.0
Nova Scotia,Females,55 to 64 years,Mental and/or psychological,Very Severe,Not in labour force,2280.0
New Brunswick,Males,15 to 24 years,All disability types,Mild,Total labour force,760.0
New Brunswick,Males,15 to 24 years,All disability types,Mild,Employed,320.0
New Brunswick,Males,15 to 24 years,All disability types,Mild,Unemployed,120.0
New Brunswick,Males,15 to 24 years,All disability types,Mild,Not in labour force,290.0
New Brunswick,Males,15 to 24 years,All disability types,Mild,Participation rate,59.5
New Brunswick,Males,15 to 24 years,All disability types,Mild,Age standardized participation rate,60.1
New Brunswick,Males,15 to 24 years,All disability types,Mild,Employment Rate,43.2
New Brunswick,Males,15 to 24 years,All disability types,Mild,Age standardized employment rate,44.0
New Brunswick,Males,15 to 24 years,All disability types,Mild,Unemployment rate,27.3
New Brunswick,Males,15 to 24 years,All disability types,Mild,Age standardized unemployment rate,26.7
New Brunswick,Males,15 to 24 years,All disability types,Moderate,Total labour force,350.0
New Brunswick,Males,15 to 24 years,All disability types,Moderate,Participation rate,32.4
New Brunswick,Males,15 to 24 years,All disability types,Moderate,Age standardized participation rate,32.7
New Brunswick,Males,15 to 24 years,All disability types,Severe,Total labour force,300.0
New Brunswick,Males,15 to 24 years,All disability types,Severe,Not in labour force,220.0
New Brunswick,Males,15 to 24 years,All disability types,Very Severe,Total labour force,610.0
New Brunswick,Males,15 to 24 years,All disability types,Very Severe,Not in labour force,550.0
New Brunswick,Males,15 to 24 years,Pain,Mild,Total labour force,250.0
New Brunswick,Males,15 to 24 years,Pain,Mild,Participation rate,80.0
New Brunswick,Males,15 to 24 years,Pain,Mild,Age standardized participation rate,79.3
New Brunswick,Males,15 to 24 years,Pain,Mild,Employment Rate,68.0
New Brunswick,Males,15 to 24 years,Pain,Mild,Age standardized employment rate,67.9
New Brunswick,Males,15 to 24 years,Learning,Mild,Total labour force,210.0
New Brunswick,Males,15 to 24 years,Learning,Mild,Participation rate,50.0
New Brunswick,Males,15 to 24 years,Learning,Mild,Age standardized participation rate,47.8
New Brunswick,Males,15 to 24 years,Learning,Moderate,Total labour force,210.0
New Brunswick,Males,15 to 24 years,Learning,Severe,Total labour force,260.0
New Brunswick,Males,15 to 24 years,Learning,Severe,Not in labour force,210.0
New Brunswick,Males,15 to 24 years,Learning,Very Severe,Total labour force,490.0
New Brunswick,Males,15 to 24 years,Learning,Very Severe,Not in labour force,430.0
New Brunswick,Males,15 to 24 years,Memory,Severe,Total labour force,120.0
New Brunswick,Males,15 to 24 years,Memory,Very Severe,Total labour force,240.0
New Brunswick,Males,15 to 24 years,Memory,Very Severe,Not in labour force,190.0
New Brunswick,Males,15 to 24 years,Developmental,Mild,Total labour force,130.0
New Brunswick,Males,15 to 24 years,Developmental,Severe,Total labour force,130.0
New Brunswick,Males,15 to 24 years,Developmental,Severe,Not in labour force,110.0
New Brunswick,Males,15 to 24 years,Developmental,Very Severe,Total labour force,450.0
New Brunswick,Males,15 to 24 years,Mental and/or psychological,Mild,Total labour force,110.0
New Brunswick,Males,15 to 24 years,Mental and/or psychological,Severe,Total labour force,200.0
New Brunswick,Males,25 to 34 years,All disability types,Mild,Total labour force,780.0
New Brunswick,Males,25 to 34 years,All disability types,Mild,Employed,590.0
New Brunswick,Males,25 to 34 years,All disability types,Mild,Participation rate,78.2
New Brunswick,Males,25 to 34 years,All disability types,Mild,Age standardized participation rate,77.6
New Brunswick,Males,25 to 34 years,All disability types,Mild,Employment Rate,75.6
New Brunswick,Males,25 to 34 years,All disability types,Mild,Age standardized employment rate,75.8
New Brunswick,Males,25 to 34 years,All disability types,Moderate,Total labour force,410.0
New Brunswick,Males,25 to 34 years,All disability types,Moderate,Participation rate,87.8
New Brunswick,Males,25 to 34 years,All disability types,Moderate,Age standardized participation rate,88.1
New Brunswick,Males,25 to 34 years,All disability types,Severe,Total labour force,680.0
New Brunswick,Males,25 to 34 years,All disability types,Very Severe,Total labour force,670.0
New Brunswick,Males,35 to 44 years,All disability types,Mild,Total labour force,1410.0
New Brunswick,Males,35 to 44 years,All disability types,Mild,Employed,960.0
New Brunswick,Males,35 to 44 years,All disability types,Mild,Participation rate,75.4
New Brunswick,Males,35 to 44 years,All disability types,Mild,Age standardized participation rate,75.7
New Brunswick,Males,35 to 44 years,All disability types,Mild,Employment Rate,69.6
New Brunswick,Males,35 to 44 years,All disability types,Mild,Age standardized employment rate,69.5
New Brunswick,Males,35 to 44 years,All disability types,Moderate,Total labour force,780.0
New Brunswick,Males,35 to 44 years,All disability types,Moderate,Employed,280.0
New Brunswick,Males,35 to 44 years,All disability types,Moderate,Participation rate,38.5
New Brunswick,Males,35 to 44 years,All disability types,Moderate,Age standardized participation rate,38.9
New Brunswick,Males,35 to 44 years,All disability types,Moderate,Employment Rate,35.9
New Brunswick,Males,35 to 44 years,All disability types,Moderate,Age standardized employment rate,35.6
New Brunswick,Males,35 to 44 years,All disability types,Severe,Total labour force,700.0
New Brunswick,Males,35 to 44 years,All disability types,Severe,Employed,340.0
New Brunswick,Males,35 to 44 years,All disability types,Severe,Participation rate,55.6
New Brunswick,Males,35 to 44 years,All disability types,Severe,Age standardized participation rate,55.8
New Brunswick,Males,35 to 44 years,All disability types,Severe,Employment Rate,54.0
New Brunswick,Males,35 to 44 years,All disability types,Severe,Age standardized employment rate,53.8
New Brunswick,Males,35 to 44 years,All disability types,Very Severe,Total labour force,1170.0
New Brunswick,Males,35 to 44 years,All disability types,Very Severe,Not in labour force,540.0
New Brunswick,Males,35 to 44 years,All disability types,Very Severe,Participation rate,50.5
New Brunswick,Males,35 to 44 years,All disability types,Very Severe,Age standardized participation rate,50.2
New Brunswick,Males,35 to 44 years,Mobility,Severe,Total labour force,480.0
New Brunswick,Males,35 to 44 years,Mobility,Very Severe,Total labour force,770.0
New Brunswick,Males,35 to 44 years,Mobility,Very Severe,Not in labour force,450.0
New Brunswick,Males,35 to 44 years,Flexibility,Severe,Total labour force,460.0
New Brunswick,Males,35 to 44 years,Flexibility,Very Severe,Total labour force,840.0
New Brunswick,Males,35 to 44 years,Flexibility,Very Severe,Not in labour force,520.0
New Brunswick,Males,35 to 44 years,Pain,Mild,Total labour force,670.0
New Brunswick,Males,35 to 44 years,Pain,Mild,Participation rate,76.1
New Brunswick,Males,35 to 44 years,Pain,Mild,Age standardized participation rate,76.9
New Brunswick,Males,35 to 44 years,Pain,Mild,Employment Rate,67.2
New Brunswick,Males,35 to 44 years,Pain,Mild,Age standardized employment rate,67.4
New Brunswick,Males,35 to 44 years,Pain,Moderate,Employed,210.0
New Brunswick,Males,35 to 44 years,Pain,Severe,Total labour force,540.0
New Brunswick,Males,35 to 44 years,Pain,Severe,Participation rate,58.5
New Brunswick,Males,35 to 44 years,Pain,Severe,Age standardized participation rate,58.8
New Brunswick,Males,35 to 44 years,Pain,Very Severe,Total labour force,1130.0
New Brunswick,Males,35 to 44 years,Pain,Very Severe,Not in labour force,510.0
New Brunswick,Males,35 to 44 years,Pain,Very Severe,Participation rate,52.4
New Brunswick,Males,35 to 44 years,Pain,Very Severe,Age standardized participation rate,52.1
New Brunswick,Males,45 to 54 years,All disability types,Mild,Total labour force,2810.0
New Brunswick,Males,45 to 54 years,All disability types,Mild,Employed,2280.0
New Brunswick,Males,45 to 54 years,All disability types,Mild,Participation rate,92.5
New Brunswick,Males,45 to 54 years,All disability types,Mild,Age standardized participation rate,92.5
New Brunswick,Males,45 to 54 years,All disability types,Mild,Employment Rate,81.1
New Brunswick,Males,45 to 54 years,All disability types,Mild,Age standardized employment rate,80.9
New Brunswick,Males,45 to 54 years,All disability types,Moderate,Total labour force,1760.0
New Brunswick,Males,45 to 54 years,All disability types,Severe,Total labour force,2470.0
New Brunswick,Males,45 to 54 years,All disability types,Severe,Participation rate,63.6
